2026-05-12T21:38:50.198Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:38:51.232Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:38:52.248Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:38:53.261Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:38:54.329Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:38:55.355Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:38:56.373Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:38:57.389Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:38:58.470Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:00.197Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:01.237Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:01.652Z 192.168.1.9 GET /api/building/1489972291 Mozilla/5.0 (Windows NT; Windows NT 10.0; fr-FR) WindowsPowerShell/5.1.19041.6456
2026-05-12T21:39:02.257Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:03.308Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:04.350Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:05.366Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:06.379Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:07.386Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:08.393Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:09.403Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:10.411Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:11.419Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:12.426Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:13.434Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:14.444Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:15.627Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:16.668Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:17.676Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:18.687Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:19.696Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:20.840Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:21.847Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:22.855Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:23.862Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:24.883Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:25.904Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:26.916Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:27.931Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:28.939Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:29.963Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:31.319Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:32.327Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:33.336Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:34.344Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:35.359Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:36.370Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:37.377Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:38.388Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:39.395Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:40.406Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:41.416Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:42.430Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:43.441Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:44.452Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:45.620Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:46.723Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:47.730Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:48.741Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:49.748Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:50.760Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:51.768Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:52.780Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:53.789Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:54.800Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:55.812Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
2026-05-12T21:39:56.823Z 127.0.0.1 GET /api/buildings UnityPlayer/6000.3.8f1 (UnityWebRequest/1.0, libcurl/8.10.1-DEV)
